Time,x_sat,y_sat,z_sat,InTrackAngle,CrossTrackAngle
2.6,1419.9195915386183,4.433353688095019e-13,7240.216021765121,50.42830972038186,2.846301026284123
2.8000000000000003,1333.2672950746144,4.4434304691257406e-13,7256.6726540573645,49.039434984796465,2.0340979763198295
3.0,1246.4244647149656,4.452872250617782e-13,7272.092253404075,46.96529141469372,2.1931298521548124
3.2,1159.4035109514298,4.461677683269757e-13,7286.472616228861,46.45441074887144,-0.009538450531532473
3.4000000000000004,1072.2168697309362,4.469845508719301e-13,7299.811687470023,42.96029657679451,2.3925153578594758
3.6,984.8770006783943,4.477374559722902e-13,7312.107560874243,41.20968651165702,0.37778530020235174
3.8000000000000003,897.396385316119,4.484263760322704e-13,7323.358479268997,34.787808803267716,-0.4403734712792883
4.0,809.7875252801276,4.490512126000273e-13,7333.562834813665,30.643452146017516,2.0985555540212655
4.2,722.0629405335656,4.496118763817294e-13,7342.719169229311,31.106223509219383,-3.244179928945876
4.4,634.2351675775056,4.5010828725431747e-13,7350.826174007074,29.479084626411165,-1.0529272625644241
4.6000000000000005,546.3167576593909,4.5054037427695476e-13,7357.882690595175,24.071695569113974,1.3835092446310069
4.800000000000001,458.3202749793647,4.5090807570116537e-13,7363.887710564467,20.43534909655006,0.5644738189976468
5.0,370.25829489475285,4.5121133897965786e-13,7368.840375752564,12.993960732814399,3.224561227796231
5.2,282.14340212295485,4.5145012077383543e-13,7372.739978386464,12.45927425991317,-2.1711561839899356
5.4,193.98818894298674,4.5162438695998905e-13,7375.585961183706,10.512236033787307,-0.4740125771979596
5.6000000000000005,105.80525339595462,4.5173411263417354e-13,7377.377917432003,5.699964336156704,-0.7815196188662654
5.800000000000001,17.60719748469823,4.517792821157672e-13,7378.11559104737,-0.0313749211693011,-1.7111641189628017
6.0,-70.59337462712814,4.517598889497125e-13,7377.798876610714,-5.717314887892283,-0.17268651372378166
6.2,-158.783858416287,4.516759359074381e-13,7376.427819382901,-8.53071018180651,0.7774952841516553
6.4,-246.95165080123792,4.515274349864634e-13,7374.0026152982955,-11.615409487613526,1.9921156462458176
6.6000000000000005,-335.0841519432136,4.513144074086839e-13,7370.523610936745,-18.805706276064587,3.7929102169223867
6.800000000000001,-423.16876704682585,4.51036883617338e-13,7365.991303474069,-21.218159239876968,4.32965928949792
7.0,-511.1929081599646,4.5069490327265686e-13,7360.406340610994,-20.416914247462756,-3.182806698330054
7.4,-687.0094616149898,4.498177776138536e-13,7346.081791534249,-31.277945434630993,-0.18308989871317788
7.6000000000000005,-774.7767484528068,4.4928275764756643e-13,7337.344252406074,-32.53281578431589,0.8517525187642703
7.800000000000001,-862.433313882633,4.4868353180570056e-13,7327.558151755943,-40.3928055578278,0.9577770966838856
8.0,-949.9666311238652,4.4802018572212295e-13,7316.724888091033,-42.02196316367224,0.4796669232270503
8.200000000000001,-1037.3641910089939,4.4729281419396377e-13,7304.846009565966,-42.38433705513111,3.239205003256646
8.4,-1124.6135037712488,4.465015211680696e-13,7291.923213761573,-43.301202171011774,-0.03644135035451377
8.6,-1211.7021008294885,4.456464197261483e-13,7277.958347442293,-47.87482176510135,-0.8965425385380175
8.8,-1298.6175365700499,4.4472763206860887e-13,7262.953406292257,-49.86495288338077,-1.6100253130994464
9.0,-1385.347390125323,4.4374528949709845e-13,7246.910534630085,-52.97805469016455,0.5756451925831606
9.200000000000001,-1471.8792671487795,4.4269953239573764e-13,7229.832025102458,-48.23502552138433,1.3461648623740157
