Sat 7 Raw Estimation History
"Data Order is: X Estimate, Y Estimate, Z Estimate, Time"
Targ 1 Estimates,Targ 2 Estimates,Targ 3 Estimates,Targ 4 Estimates
[ 9.02481001e-01 -1.02851737e+02  6.37278546e+03  1.95000000e+01],[   7.91657131  102.98468114 6376.71584444   19.5       ],[-7.60127127e-01 -1.98578949e+02  6.37299213e+03  1.95000000e+01],[-2.98235073e-01  1.93035780e+02  6.37456512e+03  1.95000000e+01]
[ 7.90981210e-01 -9.52776052e+01  6.37859534e+03  2.00000000e+01],[4.81677383e+00 1.01213392e+02 6.38442110e+03 2.00000000e+01],[-5.29983949e-01 -2.00706089e+02  6.37893345e+03  2.00000000e+01],[2.94634009e+00 1.99578438e+02 6.37358952e+03 2.00000000e+01]
[ 3.70512302e+00 -1.01682756e+02  6.38569797e+03  2.05000000e+01],[   7.65720901  106.41091811 6376.59644856   20.5       ],[   9.57896598 -211.56467973 6371.59703998   20.5       ],[   7.51278332  213.84547033 6379.47552582   20.5       ]
[ 4.41106492e-01 -1.03069085e+02  6.37569669e+03  2.10000000e+01],[2.35356996e+00 1.02398115e+02 6.37795621e+03 2.10000000e+01],[-4.76012930e+00 -2.16637456e+02  6.36660718e+03  2.10000000e+01],[1.77125813e+00 2.03985349e+02 6.37360026e+03 2.10000000e+01]
[   8.76938167 -112.79254929 6365.22968545   21.5       ],[5.03243267e+00 1.06437426e+02 6.37922751e+03 2.15000000e+01],[-3.16444247e+00 -2.18164971e+02  6.37261153e+03  2.15000000e+01],[  -7.58211882  214.69735391 6368.81293866   21.5       ]
[ 4.23072827e+00 -1.12204342e+02  6.37631753e+03  2.20000000e+01],[3.64918184e+00 1.04338967e+02 6.38153345e+03 2.20000000e+01],[-2.18950961e+00 -2.13680907e+02  6.37657616e+03  2.20000000e+01],[5.09195132e+00 2.20783025e+02 6.37163726e+03 2.20000000e+01]
[ 5.57433390e+00 -1.06692852e+02  6.38392502e+03  2.25000000e+01],[   7.26868766  115.66871089 6385.36897928   22.5       ],[  -7.45770491 -221.52450195 6374.07217627   22.5       ],[-5.18470612e+00  2.25487479e+02  6.37356739e+03  2.25000000e+01]
[-6.33816758e-01 -1.09380885e+02  6.37582480e+03  2.30000000e+01],[-5.07844227e+00  1.13968884e+02  6.36644171e+03  2.30000000e+01],[ 2.67863894e-01 -2.34557846e+02  6.37969202e+03  2.30000000e+01],[-1.75746464e-01  2.25486002e+02  6.38120469e+03  2.30000000e+01]
[  -9.92707415 -114.32328873 6377.19245374   23.5       ],[-5.63356218e+00  1.13285159e+02  6.37263819e+03  2.35000000e+01],[-1.71694866e+00 -2.36906151e+02  6.37753341e+03  2.35000000e+01],[1.19067187e+00 2.45340908e+02 6.37300599e+03 2.35000000e+01]
[ 2.41051709e+00 -1.17657048e+02  6.37340674e+03  2.40000000e+01],[4.95781790e+00 1.16049260e+02 6.37722396e+03 2.40000000e+01],[-5.10404238e+00 -2.31523422e+02  6.37379120e+03  2.40000000e+01],[6.14234206e+00 2.45318420e+02 6.37415282e+03 2.40000000e+01]
[ 7.11883271e-01 -1.28155819e+02  6.38279388e+03  2.45000000e+01],[-6.01507879e-02  1.17033333e+02  6.37751691e+03  2.45000000e+01],[-2.25568856e+00 -2.52039447e+02  6.37859698e+03  2.45000000e+01],[6.23181738e+00 2.41939364e+02 6.37430898e+03 2.45000000e+01]
[ 2.62489923e+00 -1.27803250e+02  6.37772958e+03  2.50000000e+01],[-3.12357987e+00  1.26405269e+02  6.36577968e+03  2.50000000e+01],[  10.70155022 -254.13775705 6374.51634041   25.        ],[   6.70552081  245.61706378 6370.63512936   25.        ]
[ 1.45815011e+00 -1.28231181e+02  6.37360402e+03  2.55000000e+01],[5.52970109e+00 1.26626847e+02 6.37838351e+03 2.55000000e+01],[-3.01993642e+00 -2.63016835e+02  6.36978354e+03  2.55000000e+01],[-5.01710261e+00  2.60089578e+02  6.38486504e+03  2.55000000e+01]
[ 6.16127119e+00 -1.29276511e+02  6.37358224e+03  2.60000000e+01],[-8.42872140e-01  1.25956755e+02  6.37289355e+03  2.60000000e+01],[-1.95799003e-01 -2.59641175e+02  6.36588927e+03  2.60000000e+01],[2.70217806e+00 2.62054744e+02 6.37351387e+03 2.60000000e+01]
[ 4.74838444e+00 -1.30151718e+02  6.37320635e+03  2.65000000e+01],[-4.44620782e+00  1.33002357e+02  6.38305722e+03  2.65000000e+01],[  -7.44368162 -268.18509256 6386.12799802   26.5       ],[ -14.33989743  275.64262677 6369.26200514   26.5       ]
[-4.05571399e+00 -1.38036574e+02  6.37564777e+03  2.70000000e+01],[-1.25644435e+00  1.39599070e+02  6.37432280e+03  2.70000000e+01],[ 3.12181615e+00 -2.71754648e+02  6.37408857e+03  2.70000000e+01],[-1.97772512e+00  2.75395948e+02  6.36723207e+03  2.70000000e+01]
[   6.52808122 -145.36081941 6382.42016793   27.5       ],[-3.03138103e+00  1.30239774e+02  6.37794732e+03  2.75000000e+01],[-2.93420202e+00 -2.76422872e+02  6.36979861e+03  2.75000000e+01],[2.48433832e+00 2.67018331e+02 6.37015899e+03 2.75000000e+01]
[-5.78272631e+00 -1.27724781e+02  6.36907692e+03  2.80000000e+01],[   7.22983624  149.83654703 6384.39201794   28.        ],[ 2.44356155e+00 -2.78649427e+02  6.36778300e+03  2.80000000e+01],[1.69997195e+00 2.80667811e+02 6.37294333e+03 2.80000000e+01]
[ 4.71981362e+00 -1.38658630e+02  6.37887540e+03  2.85000000e+01],[-4.41599824e+00  1.36643176e+02  6.37017194e+03  2.85000000e+01],[-4.35349869e+00 -2.82112712e+02  6.37340526e+03  2.85000000e+01],[-7.91520350e-02  2.89075749e+02  6.36710395e+03  2.85000000e+01]
[-1.94185157e+00 -1.44526871e+02  6.37904243e+03  2.90000000e+01],[5.17706814e+00 1.49595565e+02 6.37316414e+03 2.90000000e+01],[  -7.15477783 -292.0780048  6366.46760758   29.        ],[  10.35316777  289.58912931 6370.40944313   29.        ]
[-4.57808384e+00 -1.47007039e+02  6.37106389e+03  2.95000000e+01],[  -6.95891814  142.85831006 6383.03231723   29.5       ],[-1.23308335e+00 -2.95932300e+02  6.35576743e+03  2.95000000e+01],[-2.91451810e+00  2.96842699e+02  6.37258078e+03  2.95000000e+01]
[ 1.76309761e+00 -1.42219032e+02  6.37993622e+03  3.00000000e+01],[1.21828476e+00 1.50034988e+02 6.37759823e+03 3.00000000e+01],[ 2.16251617e+00 -2.88321706e+02  6.37280839e+03  3.00000000e+01],[4.43768724e+00 2.98345215e+02 6.36519834e+03 3.00000000e+01]
