Time,x_sat,y_sat,z_sat,InTrackAngle,CrossTrackAngle
27.0,2411.672317584464,-2411.672317584463,6542.520382349077,70.42084106547067,0.5263914614794231
28.0,2131.0077830936584,-2131.0077830936575,6734.575810327483,65.91647942655364,2.425904854225643
29.0,1842.73199956017,-1842.7319995601692,6902.577579705535,66.03400547795542,2.168858432933703
30.0,1547.8745919336848,-1547.8745919336839,7045.925644196922,61.775594399699955,2.811348664190833
31.0,1247.4886925299688,-1247.488692529968,7164.108012326397,59.28305237920563,3.7843710846951
32.0,942.6471795934897,-942.6471795934889,7256.702576092563,50.385871329714156,4.7629403289659
33.0,634.4388453341654,-634.4388453341646,7323.37861859686,41.626197555098095,5.1238603815745725
34.0,323.9645071247386,-323.96450712473785,7363.897995254037,27.213549597133092,4.902787210180513
35.0,12.333075748276238,-12.333075748275528,7378.115984365164,8.562579433726315,7.330384972988379
36.0,-299.342405261288,299.34240526128866,7365.9818040152895,-13.281266774053258,6.667206190185844
37.0,-609.9487350394234,609.9487350394239,7327.538793449487,-28.865904608876917,7.98472857766473
38.0,-918.3765313732008,918.3765313732014,7262.9242582795405,-42.697812625978905,9.908845519604885
39.0,-1223.5241930445484,1223.524193044549,7172.368980074082,-52.25539240059227,9.719769941651853
40.0,-1524.3018343823744,1524.3018343823749,7056.196392083812,-60.26126047980609,10.345806464970712
41.0,-1819.6351779706833,1819.6351779706838,6914.821424045797,-65.2257403627923,12.72233040811982
42.0,-2108.469391609192,2108.4693916091924,6748.749020192844,-66.02204057352009,11.329570857930989
43.0,-2389.772855822134,2389.7728558221343,6558.572335761115,-69.35058376524931,11.859783900192536
