Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Meas_alpha,ET_Meas_beta,ET_Track Error
36.000,17859.904,-4333.561,0.000,6197.722,22.881,-1505.700,94.183,0.000,0.000,-0.011,-0.002,6195.096,12.109,-1517.078,92.047,9.534,1.072,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6210.155,23.356,-1502.514,88.266,-2.564,4.121,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6212.722,34.322,-1490.700,141.275,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,-0.011,-0.002,34.641
37.000,17923.726,-4061.522,0.000,6219.886,21.447,-1411.346,94.520,0.000,0.000,-0.009,-0.000,6210.031,11.040,-1409.384,93.492,0.100,0.118,1048.118,99.627,69.490,90.899,17.300,90.512,26.794,0.078,-0.051,0.025,0.025,6224.218,21.305,-1412.162,88.781,-0.587,3.927,245.900,92.952,19.278,91.161,24.120,91.225,19.993,-0.001,-0.008,0.026,0.026,6230.744,29.267,-1412.206,133.245,0.288,-2.029,689.166,99.498,53.358,87.092,17.103,86.565,-0.009,-0.000
38.000,17983.404,-3788.544,0.000,6240.615,20.009,-1316.667,94.835,0.000,0.000,-0.009,-0.001,6220.587,10.066,-1312.925,95.894,-0.187,-0.218,1339.722,97.731,74.584,26.999,15.190,24.521,28.039,0.016,-0.002,0.003,0.003,6243.093,19.314,-1317.936,93.367,-0.016,1.051,187.172,74.256,16.536,25.687,19.681,26.667,18.840,0.026,-0.017,0.003,0.003,6264.469,28.989,-1313.042,134.343,-7.384,-3.088,651.399,98.581,25.282,86.749,84.776,87.852,-0.009,-0.001,25.222
39.000,18038.926,-3514.691,0.000,6259.902,18.565,-1221.684,95.128,0.000,0.000,-0.009,-0.000,6229.984,8.676,-1215.979,96.477,-0.090,-0.038,1829.224,98.236,83.290,10.003,13.864,7.835,29.831,0.006,0.002,0.002,0.002,6260.941,17.627,-1222.320,94.826,0.011,0.439,198.302,53.000,15.002,8.275,17.992,9.173,18.845,0.012,-0.005,0.002,0.002,6280.538,27.285,-1213.885,106.501,-6.178,-4.200,242.790,81.212,17.099,23.405,33.695,27.968,-0.009,-0.000,20.208
40.000,18090.278,-3240.025,0.000,6277.744,17.118,-1126.418,95.399,0.000,0.000,-0.007,-0.001,6237.937,7.206,-1119.012,96.655,-0.146,-0.046,2517.755,99.083,92.779,4.866,12.013,3.347,31.818,0.003,-0.000,0.001,0.001,6278.551,16.408,-1126.606,95.402,0.005,0.261,218.230,36.218,12.946,3.528,15.908,4.146,18.914,0.007,-0.003,0.001,0.001,6288.572,21.124,-1122.638,98.662,-2.697,-1.250,234.183,56.534,13.092,6.719,24.725,9.108,-0.007,-0.001,19.553
41.000,18137.447,-2964.610,0.000,6294.136,15.666,-1030.892,95.648,0.000,0.000,-0.013,0.001,6244.384,5.695,-1023.037,96.392,0.092,0.047,3407.489,99.885,101.500,2.674,10.440,1.728,33.865,-0.005,0.002,0.001,0.001,6293.311,14.710,-1031.221,95.570,0.230,0.242,235.200,25.071,11.191,1.819,13.976,2.214,18.940,-0.003,0.000,0.001,0.001,6300.612,17.357,-1028.821,96.932,-1.549,-0.501,230.075,35.278,9.886,2.654,18.256,3.755,-0.013,0.001,19.010
42.000,18180.424,-2688.510,0.000,6309.074,14.211,-935.129,95.875,0.000,0.000,-0.010,0.001,6249.333,4.211,-926.452,96.378,0.181,0.059,4500.230,100.572,107.575,1.542,9.189,1.014,35.886,0.002,0.000,0.001,0.001,6307.726,13.357,-935.123,95.891,0.438,0.234,250.414,18.022,9.788,1.074,12.304,1.319,18.957,0.004,-0.001,0.001,0.001,6310.648,14.246,-933.867,96.463,-0.129,0.035,224.574,22.438,7.850,1.323,14.036,1.846,-0.010,0.001,18.562
43.000,18219.198,-2411.788,0.000,6322.556,12.752,-839.149,96.080,0.000,0.000,-0.011,0.002,6252.800,2.727,-830.051,96.297,0.291,0.070,5797.276,101.128,109.718,0.938,8.197,0.653,37.837,0.001,0.001,0.001,0.001,6321.058,12.036,-839.072,96.097,0.615,0.223,266.493,13.537,8.672,0.704,10.878,0.851,19.002,0.001,-0.002,0.001,0.001,6322.980,12.529,-838.201,96.418,0.349,0.144,221.957,15.133,6.503,0.777,11.229,1.034,-0.011,0.002,18.243
44.000,18253.761,-2134.509,0.000,6334.577,11.291,-742.976,96.263,0.000,0.000,-0.010,0.002,6254.777,1.245,-733.669,96.204,0.382,0.074,7299.383,101.548,107.104,0.675,7.401,0.452,39.700,0.002,0.000,0.001,0.001,6332.917,10.673,-742.868,96.272,0.603,0.177,285.610,10.616,7.774,0.504,9.664,0.584,19.098,0.002,-0.002,0.001,0.001,6333.884,10.895,-742.363,96.431,0.444,0.130,223.779,10.857,5.563,0.518,9.272,0.640,-0.010,0.002,18.050
45.000,18284.103,-1856.737,0.000,6345.136,9.826,-646.631,96.423,0.000,0.000,-0.006,-0.003,6255.216,-0.240,-637.112,96.134,0.028,-0.001,9006.765,101.829,99.495,0.677,6.753,0.331,41.469,0.005,-0.005,0.001,0.001,6345.349,9.592,-646.403,96.474,0.224,0.082,309.548,8.667,7.044,0.389,8.620,0.422,19.260,0.006,-0.007,0.001,0.001,6344.320,9.474,-646.288,96.498,0.513,0.119,230.485,8.235,4.879,0.381,7.839,0.428,-0.006,-0.003,17.973
