Time    ,Satellite ,Target ,Sender ,Received Alpha ,Received Beta ,Receiver ,Sent Alpha ,Sent Beta
  0.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  1.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  2.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  3.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  4.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  5.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  6.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  7.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  8.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
  9.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
 10.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
 11.000 ,Sat1      ,Targ1  ,       ,               ,              ,         ,           ,
 12.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,0.038      ,0.001
 13.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.001     ,0.001
 14.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.010     ,0.002
 15.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.021     ,0.002
 16.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,0.027      ,0.020
 17.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.006     ,0.009
 18.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,0.014      ,-0.005
 19.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,0.003      ,0.013
 20.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.050     ,-0.009
 21.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.016     ,-0.019
 22.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.022     ,0.006
 23.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,-0.003     ,0.014
 24.000 ,Sat1      ,Targ1  ,       ,               ,              ,Sat2     ,0.001      ,-0.017
