Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,-0.023,-0.024,4506.864,70.407,-4508.183,66.804,-17.593,1.829,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4489.869,65.398,-4494.878,69.680,27.859,-1.231,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4518.617,68.783,-4507.774,69.948,24.794,0.101,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
1.000,13191.381,-12796.225,0.000,4577.938,67.485,-4440.874,69.568,0.000,0.000,-0.010,0.002,4576.443,69.379,-4441.160,67.866,-9.530,2.398,894.797,98.452,881.855,98.246,676.235,96.658,37.011,-0.006,0.077,0.065,0.065,4555.397,64.371,-4423.998,70.690,16.556,-2.145,895.470,98.298,882.278,98.074,677.342,96.333,37.020,0.012,-0.125,0.065,0.065,4583.950,67.432,-4440.266,70.715,15.457,-0.757,894.348,98.358,882.063,98.146,675.991,96.464,37.009
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,0.017,0.042,4646.416,68.553,-4371.569,69.157,-1.767,3.348,1017.601,94.522,976.844,92.970,593.154,87.359,37.419,0.023,0.076,0.060,0.060,4621.090,63.588,-4350.821,71.981,12.506,-2.478,1018.446,94.277,977.237,92.672,594.420,86.818,37.428,0.039,-0.027,0.060,0.060,4650.440,66.265,-4369.463,71.655,12.683,-1.112,1016.919,94.368,977.133,92.789,592.746,87.022,37.415
3.000,13574.339,-12389.239,0.000,4710.774,65.340,-4299.708,71.587,0.000,0.000,0.005,-0.007,4714.524,67.530,-4301.793,70.243,0.560,3.130,1296.398,89.323,1196.527,84.470,590.521,73.512,38.966,0.002,-0.014,0.060,0.060,4684.878,62.618,-4277.517,73.092,6.178,-3.302,1297.276,89.057,1196.754,84.126,591.681,72.906,38.974,0.016,-0.055,0.060,0.060,4715.217,64.958,-4298.364,72.419,7.191,-2.055,1295.512,89.153,1196.801,84.249,589.886,73.120,38.962
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,0.001,0.001,4781.289,66.425,-4231.304,71.232,2.471,2.865,1709.342,84.529,1497.374,74.431,603.074,58.478,40.909,-0.005,-0.017,0.061,0.061,4747.279,61.544,-4203.550,74.094,1.943,-3.502,1710.247,84.288,1497.503,74.107,604.192,57.919,40.916,0.008,-0.013,0.061,0.061,4778.739,63.654,-4226.504,73.157,3.422,-2.429,1708.341,84.374,1497.606,74.210,602.281,58.101,40.904
5.000,13944.746,-11970.796,0.000,4839.259,63.135,-4154.571,73.539,0.000,0.000,0.013,-0.014,4847.498,65.419,-4159.146,72.352,2.460,2.275,2254.810,81.188,1855.913,64.549,605.732,45.004,42.928,0.007,-0.040,0.061,0.061,4809.038,60.534,-4128.020,75.195,-2.052,-3.600,2255.754,80.985,1856.097,64.274,606.979,44.535,42.935,0.018,-0.007,0.061,0.061,4841.814,62.523,-4152.897,74.103,-0.379,-2.710,2253.813,81.058,1856.112,64.352,604.921,44.676,42.924
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,-0.007,-0.029,4911.641,64.203,-4087.217,73.188,1.095,1.590,2940.594,79.495,2260.581,55.732,594.680,34.199,44.928,-0.017,-0.051,0.061,0.061,4868.613,59.287,-4052.866,75.980,-5.773,-3.619,2941.549,79.328,2260.945,55.511,596.169,33.820,44.936,-0.009,-0.002,0.060,0.060,4902.924,61.233,-4079.435,74.820,-4.071,-2.894,2939.688,79.385,2260.752,55.567,593.963,33.927,44.924
7.000,14302.259,-11541.286,0.000,4963.274,60.871,-4005.596,75.424,0.000,0.000,0.003,0.022,4975.212,63.092,-4013.644,74.167,3.305,1.697,3777.663,79.182,2704.244,48.199,573.751,26.018,46.890,-0.002,0.009,0.060,0.060,4927.437,58.118,-3976.204,76.879,-4.837,-2.840,3778.560,79.044,2704.860,48.022,575.505,25.713,46.899,0.004,0.067,0.059,0.059,4963.489,60.070,-4004.238,75.715,-3.193,-2.248,3776.877,79.087,2704.388,48.066,573.186,25.795,46.887
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,-0.029,0.015,5036.487,61.801,-3940.781,74.855,4.447,1.612,4776.403,79.875,3181.161,41.834,547.565,19.970,48.812,-0.033,-0.009,0.058,0.058,4983.843,56.759,-3900.433,77.468,-4.284,-2.312,4777.182,79.760,3182.058,41.691,549.558,19.722,48.821,-0.029,0.052,0.058,0.058,5021.800,58.744,-3929.729,76.337,-2.738,-1.827,4775.734,79.789,3181.285,41.730,547.164,19.787,48.810
9.000,14646.549,-11101.104,0.000,5082.704,58.551,-3852.921,77.239,0.000,0.000,-0.008,0.021,5097.682,60.675,-3865.505,75.806,5.552,1.540,5946.889,81.252,3684.556,36.425,519.479,15.522,50.693,-0.001,-0.008,0.057,0.057,5040.035,55.555,-3822.428,78.300,-3.361,-1.851,5947.485,81.155,3685.745,36.307,521.664,15.318,50.702,0.002,0.052,0.057,0.057,5080.028,57.586,-3852.814,77.226,-1.925,-1.451,5946.294,81.171,3684.677,36.344,519.238,15.370,50.691
