Time    ,Satellite ,Target ,Sender ,Received Alpha ,Received Beta ,Receiver ,Sent Alpha ,Sent Beta
 62.000 ,Sat2      ,Targ1  ,Sat1   ,-0.056         ,0.010         ,Sat1     ,-4.640     ,-4.669
 63.000 ,Sat2      ,Targ1  ,Sat1   ,-0.001         ,0.024         ,Sat1     ,-5.070     ,-5.115
 64.000 ,Sat2      ,Targ1  ,Sat1   ,-0.007         ,-0.014        ,Sat1     ,-5.477     ,-5.554
 65.000 ,Sat2      ,Targ1  ,Sat1   ,-0.014         ,0.035         ,Sat1     ,-5.859     ,-5.984
 66.000 ,Sat2      ,Targ1  ,Sat1   ,0.006          ,0.014         ,Sat1     ,-6.269     ,-6.376
 67.000 ,Sat2      ,Targ1  ,Sat1   ,-0.025         ,0.002         ,Sat1     ,-6.628     ,-6.784
 68.000 ,Sat2      ,Targ1  ,Sat1   ,-0.025         ,0.019         ,         ,           ,
 69.000 ,Sat2      ,Targ1  ,Sat1   ,-0.040         ,0.005         ,         ,           ,
 70.000 ,Sat2      ,Targ1  ,Sat1   ,0.001          ,0.005         ,         ,           ,
 71.000 ,Sat2      ,Targ1  ,Sat1   ,-0.033         ,-0.013        ,         ,           ,
 72.000 ,Sat2      ,Targ1  ,Sat1   ,-0.023         ,-0.024        ,         ,           ,
 73.000 ,Sat2      ,Targ1  ,Sat1   ,-0.001         ,0.016         ,         ,           ,
 74.000 ,Sat2      ,Targ1  ,Sat1   ,-0.009         ,-0.002        ,         ,           ,
 75.000 ,Sat2      ,Targ1  ,Sat1   ,-0.027         ,-0.022        ,         ,           ,
 76.000 ,Sat2      ,Targ1  ,Sat1   ,-0.014         ,0.002         ,         ,           ,
 77.000 ,Sat2      ,Targ1  ,Sat1   ,0.001          ,-0.020        ,         ,           ,
 78.000 ,Sat2      ,Targ1  ,Sat1   ,-0.011         ,-0.009        ,         ,           ,
 79.000 ,Sat2      ,Targ1  ,Sat1   ,0.009          ,-0.006        ,         ,           ,
 80.000 ,Sat2      ,Targ1  ,Sat1   ,-0.041         ,0.003         ,         ,           ,
 81.000 ,Sat2      ,Targ1  ,Sat1   ,-0.029         ,0.012         ,         ,           ,
 82.000 ,Sat2      ,Targ1  ,Sat1   ,-0.008         ,-0.031        ,         ,           ,
 83.000 ,Sat2      ,Targ1  ,Sat1   ,-0.015         ,-0.016        ,         ,           ,
 84.000 ,Sat2      ,Targ1  ,Sat1   ,-0.035         ,-0.018        ,         ,           ,
