Time   ,x_sat     ,y_sat     ,z_sat ,True_x   ,True_vx ,True_y    ,True_vy ,True_z ,True_vz ,InTrackAngle ,CrossTrackAngle ,Est_x    ,Est_vx ,Est_y     ,Est_vy ,Est_z  ,Est_vz ,Cov_xx    ,Cov_vxvx ,Cov_yy   ,Cov_vyvy ,Cov_zz   ,Cov_vzvz ,Track Error ,Innovation_ITA ,Innovation_CTA ,InnovationCov_ITA ,InnovationCov_CTA ,DDF_Est_x ,DDF_Est_vx ,DDF_Est_y ,DDF_Est_vy ,DDF_Est_z ,DDF_Est_vz ,DDF_Cov_xx ,DDF_Cov_vxvx ,DDF_Cov_yy ,DDF_Cov_vyvy ,DDF_Cov_zz ,DDF_Cov_vzvz ,DDF Track Error ,DDF_Innovation_ITA ,DDF_Innovation_CTA ,DDF_InnovationCov_ITA ,DDF_InnovationCov_CTA ,ET_Est_x ,ET_Est_vx ,ET_Est_y  ,ET_Est_vy ,ET_Est_z ,ET_Est_vz ,ET_Cov_xx ,ET_Cov_vxvx ,ET_Cov_yy ,ET_Cov_vyvy ,ET_Cov_zz ,ET_Cov_vzvz ,ET_Meas_alpha ,ET_Meas_beta
36.000 ,17859.904 ,-4333.561 ,0.000 ,6197.722 , 22.881 ,-1505.700 , 94.183 , 0.000 ,  0.000 ,       0.004 ,-0.001          ,6204.925 ,20.106 ,-1489.194 ,86.634 ,18.921 ,0.641  , 1000.000 , 100.000 ,1000.000 , 100.000 ,1000.000 , 100.000 ,     38.960 ,0.000          ,0.000          ,            1.000 ,            1.000 , 6193.733 ,    17.005 ,-1506.089 ,    96.221 ,-8.205    ,-3.761     ,  1000.000 ,     100.000 ,  1000.000 ,     100.000 ,  1000.000 ,     100.000 ,         38.960 ,0.000              ,0.000              ,                1.000 ,                1.000 ,6212.722 ,   34.322 ,-1490.700 ,  141.275 ,15.000   ,0.000     ,  625.000 ,    100.000 ,  625.000 ,    100.000 ,  625.000 ,    100.000 ,0.004         ,-0.001
37.000 ,17923.726 ,-4061.522 ,0.000 ,6219.886 , 21.447 ,-1411.346 , 94.520 , 0.000 ,  0.000 ,       0.009 ,0.002           ,6223.112 ,18.782 ,-1408.061 ,86.382 ,0.682  ,-1.074 , 1047.091 ,  99.639 ,  70.464 ,  91.401 ,  17.267 ,  91.026 ,     26.805 ,-0.028         ,-0.092         ,            0.025 ,            0.025 , 6217.023 ,    17.665 ,-1410.929 ,    95.951 ,0.022     ,-2.464     ,   247.847 ,      92.948 ,    19.381 ,      90.799 ,    24.132 ,      90.848 ,         20.023 ,-0.003             ,-0.055             ,                0.025 ,                0.025 ,6233.869 ,   29.750 ,-1398.769 ,  135.559 ,3.075    ,-1.539    ,  742.950 ,    100.612 ,  175.243 ,     90.919 ,  142.862 ,     90.497 ,0.009         ,0.002
38.000 ,17983.404 ,-3788.544 ,0.000 ,6240.615 , 20.009 ,-1316.667 , 94.835 , 0.000 ,  0.000 ,       0.012 ,0.003           ,6241.462 ,18.090 ,-1318.014 ,89.479 ,-0.646 ,-1.285 , 1338.684 ,  97.760 ,  74.618 ,  27.075 ,  15.157 ,  24.602 ,     28.034 ,-0.019         ,0.001          ,            0.003 ,            0.003 , 6236.562 ,    17.130 ,-1316.241 ,    95.135 ,-0.430    ,-0.621     ,   188.028 ,      74.273 ,    16.564 ,      25.651 ,    19.690 ,      26.631 ,         18.855 ,0.005              ,-0.008             ,                0.003 ,                0.003 ,6264.506 ,   28.958 ,-1301.962 ,  136.301 ,-3.619   ,-2.403    ,  709.753 ,     99.904 ,  155.697 ,     90.744 ,  208.429 ,     91.589 ,0.012         ,0.003
39.000 ,18038.926 ,-3514.691 ,0.000 ,6259.902 , 18.565 ,-1221.684 , 95.128 , 0.000 ,  0.000 ,       0.007 ,0.001           ,6259.327 ,17.272 ,-1222.663 ,92.951 ,-0.521 ,-0.479 , 1828.447 ,  98.220 ,  82.830 ,  10.058 ,  13.817 ,   7.864 ,     29.820 ,-0.035         ,-0.009         ,            0.002 ,            0.002 , 6257.191 ,    17.196 ,-1221.213 ,    95.320 ,0.121     ,0.185      ,   198.808 ,      53.060 ,    15.019 ,       8.272 ,    18.003 ,       9.170 ,         18.855 ,-0.005             ,-0.004             ,                0.002 ,                0.002 ,6273.702 ,   23.788 ,-1208.839 ,  122.611 ,-0.413   ,-1.614    ,  823.350 ,     96.744 ,   72.510 ,     63.183 ,  148.626 ,     72.551 ,0.007         ,nan
40.000 ,18090.278 ,-3240.025 ,0.000 ,6277.744 , 17.118 ,-1126.418 , 95.399 , 0.000 ,  0.000 ,       0.011 ,-0.002          ,6276.128 ,15.994 ,-1127.422 ,94.090 ,0.005  ,-0.057 , 2516.865 ,  99.042 ,  92.286 ,   4.916 ,  11.963 ,   3.365 ,     31.808 ,-0.015         ,-0.007         ,            0.001 ,            0.001 , 6274.771 ,    16.088 ,-1126.152 ,    95.413 ,-0.133    ,0.018      ,   218.550 ,      36.280 ,    12.954 ,       3.528 ,    15.916 ,       4.147 ,         18.920 ,0.001              ,-0.004             ,                0.001 ,                0.001 ,6294.185 ,   21.185 ,-1113.911 ,  112.619 ,-0.171   ,-1.058    , 1206.071 ,     94.739 ,   67.884 ,     40.874 ,  150.440 ,     51.487 ,0.011         ,nan
41.000 ,18137.447 ,-2964.610 ,0.000 ,6294.136 , 15.666 ,-1030.892 , 95.648 , 0.000 ,  0.000 ,       0.009 ,-0.001          ,6291.514 ,14.618 ,-1031.518 ,94.863 ,0.155  ,0.011  , 3406.284 ,  99.835 , 101.034 ,   2.714 ,  10.390 ,   1.741 ,     33.856 ,-0.014         ,-0.002         ,            0.001 ,            0.001 , 6292.128 ,    15.166 ,-1030.968 ,    95.553 ,0.037     ,0.086      ,   235.488 ,      25.126 ,    11.196 ,       1.820 ,    13.982 ,       2.215 ,         18.945 ,-0.002             ,-0.002             ,                0.001 ,                0.001 ,6314.575 ,   19.169 ,-1021.271 ,  106.584 ,-0.090   ,-0.693    , 1666.770 ,     90.250 ,   65.888 ,     27.457 ,  149.582 ,     35.735 ,0.009         ,nan
42.000 ,18180.424 ,-2688.510 ,0.000 ,6309.074 , 14.211 ,-935.129  , 95.875 , 0.000 ,  0.000 ,       0.011 ,-0.000          ,6305.420 ,13.190 ,-935.590  ,95.318 ,0.064  ,-0.017 , 4498.572 , 100.520 , 107.234 ,   1.571 ,   9.140 ,   1.023 ,     35.878 ,-0.009         ,-0.001         ,            0.001 ,            0.001 , 6307.427 ,    13.909 ,-935.224  ,    95.801 ,0.091     ,0.082      ,   250.630 ,      18.063 ,     9.791 ,       1.075 ,    12.307 ,       1.320 ,         18.960 ,-0.002             ,-0.001             ,                0.001 ,                0.001 ,6331.200 ,   17.050 ,-927.331  ,  103.524 ,-0.362   ,-0.566    , 2160.941 ,     84.455 ,   63.000 ,     20.204 ,  144.754 ,     26.010 ,0.011         ,nan
43.000 ,18219.198 ,-2411.788 ,0.000 ,6322.556 , 12.752 ,-839.149  , 96.080 , 0.000 ,  0.000 ,       0.008 ,0.003           ,6317.844 ,11.738 ,-839.208  ,95.713 ,0.348  ,0.052  , 5795.030 , 101.076 , 109.476 ,   0.957 ,   8.150 ,   0.660 ,     37.830 ,-0.010         ,0.003          ,            0.001 ,            0.001 , 6321.465 ,    12.616 ,-839.086  ,    96.065 ,0.431     ,0.145      ,   266.664 ,      13.568 ,     8.673 ,       0.705 ,    10.880 ,       0.852 ,         19.005 ,-0.004             ,0.002              ,                0.001 ,                0.001 ,6344.188 ,   14.858 ,-832.735  ,  101.754 ,-1.036   ,-0.573    , 2687.077 ,     78.739 ,   60.231 ,     16.184 ,  139.510 ,     20.179 ,0.008         ,nan
44.000 ,18253.761 ,-2134.509 ,0.000 ,6334.577 , 11.291 ,-742.976  , 96.263 , 0.000 ,  0.000 ,       0.010 ,-0.000          ,6328.776 ,10.275 ,-742.848  ,95.976 ,0.196  ,0.011  , 7296.394 , 101.497 , 106.963 ,   0.685 ,   7.355 ,   0.457 ,     39.693 ,-0.006         ,-0.002         ,            0.001 ,            0.001 , 6333.923 ,    11.258 ,-742.913  ,    96.256 ,0.241     ,0.078      ,   285.751 ,      10.640 ,     7.775 ,       0.505 ,     9.664 ,       0.585 ,         19.100 ,-0.002             ,-0.003             ,                0.001 ,                0.001 ,6354.229 ,   12.720 ,-730.770  ,  101.968 ,-3.108   ,-0.845    , 2430.278 ,     61.141 ,  211.449 ,     19.297 ,  129.308 ,     16.480 ,0.010         ,nan
45.000 ,18284.103 ,-1856.737 ,0.000 ,6345.136 ,  9.826 ,-646.631  , 96.423 , 0.000 ,  0.000 ,       0.011 ,0.001           ,6338.252 ,8.808  ,-646.464  ,96.165 ,0.237  ,0.017  , 9002.849 , 101.780 ,  99.429 ,   0.679 ,   6.709 ,   0.336 ,     41.462 ,-0.004         ,0.000          ,            0.001 ,            0.001 , 6344.195 ,     9.756 ,-646.501  ,    96.425 ,0.307     ,0.075      ,   309.665 ,       8.685 ,     7.045 ,       0.390 ,     8.620 ,       0.422 ,         19.261 ,-0.000             ,-0.000             ,                0.001 ,                0.001 ,6366.669 ,   11.144 ,-628.719  ,  102.178 ,-3.634   ,-0.792    , 3398.154 ,     65.619 ,  582.840 ,     25.970 ,  172.187 ,     15.416 ,0.011         ,nan
