Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Meas_alpha,ET_Meas_beta,ET_Track Error
36.000,17859.904,-4333.561,0.000,6197.722,22.881,-1505.700,94.183,0.000,0.000,-0.010,-0.000,6187.729,25.695,-1492.106,94.630,13.330,3.843,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6204.007,24.190,-1515.262,93.326,2.552,7.036,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6198.713,21.182,-1523.540,99.098,9.683,2.098,1000.000,100.000,1000.000,100.000,1000.000,100.000,-0.010,-0.000,38.960
37.000,17923.726,-4061.522,0.000,6219.886,21.447,-1411.346,94.520,0.000,0.000,-0.008,0.001,6210.047,24.017,-1408.804,94.001,0.393,2.319,1047.039,99.656,70.595,91.575,17.302,91.216,26.809,-0.057,-0.081,0.025,0.025,6221.280,22.196,-1411.472,94.630,0.057,6.171,246.270,92.952,19.279,91.128,24.179,91.193,20.000,0.041,-0.045,0.026,0.026,6213.413,21.940,-1410.913,94.291,2.149,2.118,383.636,95.442,18.563,50.864,50.686,51.582,-0.008,0.001,22.276
38.000,17983.404,-3788.544,0.000,6240.615,20.009,-1316.667,94.835,0.000,0.000,-0.010,0.002,6233.344,22.507,-1315.205,93.914,0.768,0.705,1338.832,97.802,74.868,27.126,15.184,24.680,28.040,-0.003,-0.011,0.003,0.003,6240.695,19.677,-1316.805,94.783,0.960,1.738,187.358,74.269,16.552,25.688,19.702,26.671,18.845,-0.003,-0.028,0.003,0.003,6238.726,21.084,-1316.510,94.704,0.565,0.261,218.201,72.104,14.670,11.797,30.794,13.226,-0.010,0.002,19.657
39.000,18038.926,-3514.691,0.000,6259.902,18.565,-1221.684,95.128,0.000,0.000,-0.011,0.003,6255.132,21.086,-1221.131,94.267,0.786,0.312,1828.819,98.285,83.194,10.049,13.835,7.894,29.828,-0.000,-0.004,0.002,0.002,6259.043,17.976,-1221.801,95.097,1.034,0.774,198.431,53.018,15.011,8.276,18.006,9.176,18.849,-0.001,-0.010,0.002,0.002,6259.129,19.604,-1221.618,95.043,0.598,0.166,195.192,44.935,10.893,3.886,20.710,4.784,-0.011,0.003,18.686
40.000,18090.278,-3240.025,0.000,6277.744,17.118,-1126.418,95.399,0.000,0.000,-0.012,-0.002,6275.484,19.664,-1126.592,94.653,0.024,-0.139,2517.662,99.114,92.520,4.896,11.975,3.380,31.813,0.001,-0.008,0.001,0.001,6277.089,16.771,-1126.794,95.274,0.353,0.177,218.339,36.233,12.951,3.529,15.916,4.148,18.916,-0.001,-0.011,0.001,0.001,6277.085,17.856,-1126.722,95.233,0.478,0.055,187.478,27.232,8.537,1.721,15.436,2.225,-0.012,-0.002,18.130
41.000,18137.447,-2964.610,0.000,6294.136,15.666,-1030.892,95.648,0.000,0.000,-0.007,0.000,6294.505,18.257,-1030.963,95.246,0.001,-0.101,3407.630,99.904,101.150,2.699,10.397,1.750,33.860,0.007,0.001,0.001,0.001,6294.956,15.810,-1030.994,95.677,0.396,0.147,235.291,25.081,11.193,1.821,13.979,2.216,18.941,0.006,-0.002,0.001,0.001,6295.471,16.715,-1031.227,95.560,0.267,0.000,181.916,17.350,6.992,0.923,12.180,1.208,-0.007,0.000,17.719
42.000,18180.424,-2688.510,0.000,6309.074,14.211,-935.129,95.875,0.000,0.000,-0.012,-0.000,6312.026,16.810,-935.722,95.509,-0.097,-0.100,4500.545,100.585,107.280,1.563,9.145,1.029,35.882,-0.001,0.000,0.001,0.001,6308.965,14.116,-935.187,95.894,0.140,0.031,250.385,18.023,9.788,1.076,12.302,1.321,18.957,-0.002,-0.003,0.001,0.001,6310.824,15.058,-935.113,95.911,-0.165,-0.102,179.241,11.804,5.915,0.571,9.995,0.733,-0.012,-0.000,17.427
43.000,18219.198,-2411.788,0.000,6322.556,12.752,-839.149,96.080,0.000,0.000,-0.007,0.002,6328.157,15.367,-839.616,95.898,0.072,-0.038,5797.776,101.138,109.451,0.956,8.152,0.664,37.833,0.005,0.003,0.001,0.001,6322.959,12.776,-838.939,96.164,0.224,0.045,266.406,13.536,8.672,0.706,10.875,0.852,19.001,0.004,0.001,0.001,0.001,6324.340,13.450,-839.134,96.123,-0.096,-0.070,180.039,8.542,5.133,0.395,8.440,0.483,-0.007,0.002,17.246
44.000,18253.761,-2134.509,0.000,6334.577,11.291,-742.976,96.263,0.000,0.000,-0.012,0.002,6342.792,13.912,-743.855,96.106,0.197,-0.005,7300.061,101.557,106.893,0.691,7.356,0.461,39.697,-0.003,0.002,0.001,0.001,6334.838,11.282,-743.088,96.263,0.217,0.035,285.463,10.613,7.774,0.505,9.659,0.585,19.096,-0.003,0.001,0.001,0.001,6337.445,12.057,-743.074,96.299,-0.254,-0.087,184.407,6.521,4.547,0.300,7.279,0.341,-0.012,0.002,17.163
45.000,18284.103,-1856.737,0.000,6345.136,9.826,-646.631,96.423,0.000,0.000,-0.014,-0.000,6355.960,12.455,-647.921,96.293,0.092,-0.023,9007.647,101.837,99.306,0.691,6.708,0.339,41.466,-0.004,-0.001,0.001,0.001,6344.735,9.722,-646.784,96.406,0.185,0.021,309.360,8.663,7.044,0.390,8.617,0.423,19.257,-0.003,-0.002,0.001,0.001,6347.116,10.348,-646.640,96.467,-0.079,-0.049,192.406,5.212,4.101,0.246,6.375,0.255,-0.014,-0.000,17.168
46.000,18310.219,-1578.535,0.000,6354.230,8.360,-550.136,96.562,0.000,0.000,-0.008,0.001,6367.676,10.990,-551.235,96.556,0.106,-0.017,10920.185,101.978,87.025,0.923,6.176,0.262,43.140,0.004,0.000,0.001,0.001,6354.118,8.313,-550.130,96.576,0.095,0.003,339.819,7.338,6.444,0.322,7.711,0.319,19.493,0.004,-0.000,0.001,0.001,6355.620,8.737,-550.268,96.580,-0.166,-0.058,204.210,4.332,3.759,0.215,5.647,0.201,-0.008,0.001,17.254
47.000,18332.103,-1299.968,0.000,6361.856,6.892,-453.515,96.677,0.000,0.000,-0.008,0.000,6377.926,9.521,-454.394,96.779,0.064,-0.021,13036.773,101.979,70.987,1.366,5.734,0.212,44.721,0.003,-0.000,0.001,0.001,6362.054,6.890,-453.317,96.722,0.029,-0.007,378.717,6.430,5.946,0.282,6.915,0.251,19.811,0.003,-0.000,0.001,0.001,6363.630,7.266,-453.415,96.736,-0.206,-0.056,220.006,3.724,3.499,0.197,5.037,0.164,-0.008,0.000,17.411
48.000,18349.748,-1021.101,0.000,6368.013,5.422,-356.789,96.771,0.000,0.000,-0.012,0.002,6386.726,8.054,-357.659,96.935,0.161,-0.005,15355.958,101.841,52.644,2.013,5.365,0.178,46.215,-0.002,0.002,0.001,0.001,6367.473,5.336,-356.611,96.796,0.148,0.009,428.203,5.812,5.531,0.261,6.214,0.204,20.214,-0.002,0.002,0.001,0.001,6370.260,5.804,-356.476,96.862,-0.232,-0.053,239.924,3.292,3.306,0.189,4.510,0.140,-0.012,0.002,17.632
49.000,18363.152,-741.997,0.000,6372.699,3.951,-259.980,96.842,0.000,0.000,-0.010,-0.001,6394.027,6.579,-260.563,97.096,0.079,-0.015,17875.687,101.562,34.011,2.856,5.055,0.154,47.629,0.001,-0.001,0.001,0.001,6372.540,3.914,-259.714,96.880,0.056,-0.003,490.450,5.399,5.183,0.252,5.602,0.172,20.703,0.001,-0.001,0.001,0.001,6374.311,4.232,-259.819,96.899,-0.196,-0.045,263.777,2.975,3.171,0.186,4.043,0.122,-0.010,-0.001,17.903
